name,scryfall_id,set,collector_number,type_line,oracle_text,color_identity
"Bhaal, Lord of Murder",88b11da8-f9af-4ef3-9bc2-c28f0a8a5dd1,clb,268,Legendary Creature — God,"As long as your life total is less than or equal to half your starting life total, Bhaal has indestructible. Whenever another nontoken creature you control dies, put a +1/+1 counter on target creature and goad it.",BGR
"Bilbo, Birthday Celebrant",4cf6c13b-d898-4066-b006-9a7fa896d55a,ltc,48,Legendary Creature — Halfling Rogue,"If you would gain life, you gain that much life plus 1 instead. {2}{W}{B}{G}, {T}, Exile Bilbo: Search your library for any number of creature cards, put them onto the battlefield, then shuffle. Activate only if you have 111 or more life.",BGW
"Bilbo, Retired Burglar",527df93e-cc2b-4216-909a-4ada1abcbfd3,ltr,196,Legendary Creature — Halfling Rogue,"When Bilbo enters or leaves the battlefield, the Ring tempts you. Whenever Bilbo deals combat damage to a player, create a Treasure token.",RU
"Bill Ferny, Bree Swindler",20ac63cb-fa4d-4340-8062-1029c8bd5ec8,ltr,42,Legendary Creature — Human Rogue,"Whenever Bill Ferny becomes blocked, choose one — • Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."") • Target opponent gains control of target Horse you control. If they do, remove Bill Ferny from combat and create three Treasure tokens.",U
Bill Potts,74185710-3877-4080-b1d2-014fabbc7186,who,76,Legendary Creature — Human,"Whenever you cast an instant or sorcery spell that targets only Bill Potts or activate an ability that targets only Bill Potts, copy that spell or ability. You may choose new targets for the copy. This ability triggers only once each turn. Doctor's companion (You can have two commanders if the other is the Doctor.)",R
Bill the Pony,9ac68519-ed7f-4f38-9549-c02975f88eed,ltr,3,Legendary Creature — Horse,"When Bill the Pony enters, create two Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this token: You gain 3 life."") Sacrifice a Food: Until end of turn, target creature you control assigns combat damage equal to its toughness rather than its power.",W
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",44657ab1-0a6a-4a5f-9688-86f239083821,khm,123,Legendary Creature — God // Legendary Artifact,,R
"Bjorna, Nightfall Alchemist",83b0b716-bcb0-4044-b64a-354e3cbbd563,slx,2,Legendary Creature — Human,"{T}, Sacrifice an artifact: Bjorna, Nightfall Alchemist deals 1 damage to target creature. Goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.) Friends forever (You can have two commanders if both have friends forever.)",RU
"Black Cat, Cunning Thief",0ed36ada-22c8-4e40-86c5-c116a0bee1c2,spm,52,Legendary Creature — Human Rogue Villain,"When Black Cat enters, look at the top nine cards of target opponent's library, exile two of them face down, then put the rest on the bottom of their library in a random order. You may play the exiled cards for as long as they remain exiled. Mana of any type can be spent to cast spells this way.",B
"Black Panther, Wakandan King",3a93a12d-6913-4d9e-8e9c-8067147e37f2,sld,1747,Legendary Creature — Human Noble Hero,"First strike Survey the Realm — Whenever Black Panther or another creature you control enters, put a +1/+1 counter on target land you control. Mine Vibranium — {3}: Move all +1/+1 counters from target land you control onto target creature. If one or more +1/+1 counters are moved this way, you gain that much life and draw a card.",GW
Black Waltz No. 3,fe86e41b-b0f6-4aa1-8827-c095c721f304,fin,214,Legendary Creature — Wizard,"Flying, deathtouch Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.",BR
"Bladewing, Deathless Tyrant",7dcf3b3e-e986-4add-a3c6-4e92a6f72a12,dmc,9,Legendary Creature — Dragon Skeleton,"Flying, haste Whenever Bladewing deals combat damage to a player or planeswalker, for each creature card in your graveyard, create a 2/2 black Zombie Knight creature token with menace.",BR
Bladewing the Risen,27ce43cb-44f4-4d94-8700-d9f3cc043989,ima,193,Legendary Creature — Zombie Dragon,"Flying When Bladewing enters, you may return target Dragon permanent card from your graveyard to the battlefield. {B}{R}: Dragon creatures get +1/+1 until end of turn.",BR
"Blaster, Combat DJ // Blaster, Morale Booster",b2f8d457-ca4d-4b7d-83ed-17c2ba11ec0e,bot,8,Legendary Artifact Creature — Robot // Legendary Artifact,,GR
"Blex, Vexing Pest // Search for Blex",c204b7ca-0904-40fa-b20c-92400fae20b8,stx,148,Legendary Creature — Pest // Sorcery,,BG
"Blim, Comedic Genius",3d8cd7dc-028a-4da2-b2a1-435d40cf48ca,cmr,272,Legendary Creature — Imp,"Flying Whenever Blim deals combat damage to a player, that player gains control of target permanent you control. Then each player loses life and discards cards equal to the number of permanents they control but don't own.",BR
Blind Seer,5c54ec26-c7f1-4258-9cc9-1709987f293c,inv,47,Legendary Creature — Human Wizard,{1}{U}: Target spell or permanent becomes the color of your choice until end of turn.,U
"Blitzwing, Cruel Tormentor // Blitzwing, Adaptive Assailant",d20738d2-a159-4e3e-be7a-561a121bd447,bot,4,Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle,,B
"Blue, Loyal Raptor",0a764ec9-6a30-4df3-91b4-c64fd8e32fa0,rex,8,Legendary Creature — Dinosaur,"Partner with Owen Grady, Raptor Trainer (When this creature enters, target player may put Owen into their hand from their library, then shuffle.) For each kind of counter on Blue, Loyal Raptor, each other Dinosaur you control enters with a counter of that kind on it.",GU
"Bohn, Beguiling Balladeer",6e779a16-7528-49f4-8304-502bb603c15b,slx,30,Legendary Creature — Human Bard,"Each nonland card in your hand without foretell has foretell. Its foretell cost is equal to its mana cost reduced by {2}. (During your turn, you may pay {2} and exile it from your hand face down. Cast it on a later turn for its foretell cost.) Whenever you cast your second spell each turn, goad target creature an opponent controls.",RU
"Bonny Pall, Clearcutter",4383ae7c-58ea-4354-93e4-677ad185c3bb,otj,196,Legendary Creature — Giant Scout,"Reach When Bonny Pall enters, create Beau, a legendary blue Ox creature token with ""Beau's power and toughness are each equal to the number of lands you control."" Whenever you attack, draw a card, then you may put a land card from your hand or graveyard onto the battlefield.",GU
Bontu the Glorified,4bc07386-909f-4946-9120-3acb58622e2f,akh,82,Legendary Creature — God,"Menace, indestructible Bontu can't attack or block unless a creature died under your control this turn. {1}{B}, Sacrifice another creature: Scry 1. Each opponent loses 1 life and you gain 1 life.",B
Borborygmos,7c4a08e9-06c7-43e9-a855-4f507a35ae8b,gpt,103,Legendary Creature — Cyclops,"Trample Whenever Borborygmos deals combat damage to a player, put a +1/+1 counter on each creature you control.",GR
Borborygmos and Fblthp,34bbf1c1-2868-4c9e-b5c4-1aae86faed6c,mom,219,Legendary Creature — Cyclops Homunculus,"Whenever Borborygmos and Fblthp enters or attacks, draw a card, then you may discard any number of land cards. When you discard one or more cards this way, Borborygmos and Fblthp deals twice that much damage to target creature. {1}{U}: Put Borborygmos and Fblthp into its owner's library third from the top.",GRU
Borborygmos Enraged,02df18c5-07b9-4e85-9c4b-58b63fa59437,rvr,167,Legendary Creature — Cyclops,"Trample Whenever Borborygmos Enraged deals combat damage to a player, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard. Discard a land card: Borborygmos Enraged deals 3 damage to any target.",GR
Boris Devilboon,b61e5753-d11d-4ef5-ae0e-510c4d5809a9,me3,146,Legendary Creature — Zombie Wizard,"{2}{B}{R}, {T}: Create a 1/1 black and red Demon creature token named Minor Demon.",BR
"Boromir, Gondor's Hope",3c9b154f-808f-4338-ad95-a0a478460ad8,ltc,49,Legendary Creature — Human Warrior,"Whenever Boromir enters or attacks, look at the top six cards of your library. You may reveal a Human or artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",UW
"Boromir, Warden of the Tower",f6bc3720-2892-4dda-8f30-079a1ac8e1e2,ltr,4,Legendary Creature — Human Soldier,"Vigilance Whenever an opponent casts a spell, if no mana was spent to cast it, counter that spell. Sacrifice Boromir: Creatures you control gain indestructible until end of turn. The Ring tempts you.",W
Bortuk Bonerattle,9a25855f-abfc-482d-a36b-088b023a7df6,dmu,197,Legendary Creature — Troll Shaman,"Domain — When Bortuk Bonerattle enters, if you cast it, choose target creature card in your graveyard. Return that card to the battlefield if its mana value is less than or equal to the number of basic land types among lands you control. Otherwise, put it into your hand.",BG
"Bosh, Iron Golem",09fb3b1f-c3a0-4da4-9b29-eff81fc1d562,c21,237,Legendary Artifact Creature — Golem,"Trample {3}{R}, Sacrifice an artifact: Bosh deals damage equal to the sacrificed artifact's mana value to any target.",R
Bounteous Kirin,1d7fe65e-81b1-4e69-913a-25fc99d96d81,sok,123,Legendary Creature — Kirin Spirit,"Flying Whenever you cast a Spirit or Arcane spell, you may gain life equal to that spell's mana value.",G
"Brago, King Eternal",0ac3fb08-741a-49e5-9fae-b26819677d24,khc,82,Legendary Creature — Spirit Noble,"Flying Whenever Brago deals combat damage to a player, exile any number of target nonland permanents you control, then return those cards to the battlefield under their owner's control.",UW
"Braids, Arisen Nightmare",f96223d0-04c4-40c2-87a9-0c6bc74adddb,eoc,82,Legendary Creature — Nightmare,"At the beginning of your end step, you may sacrifice an artifact, creature, enchantment, land, or planeswalker. If you do, each opponent may sacrifice a permanent of their choice that shares a card type with it. For each opponent who doesn't, that player loses 2 life and you draw a card.",B
"Braids, Cabal Minion",27691efa-052d-4afe-b9ef-159858ca660f,mh2,273,Legendary Creature — Human Minion,"At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land of their choice.",B
"Braids, Conjurer Adept",9ea0a701-1349-4d32-9fe7-8a2563c9613d,cmm,76,Legendary Creature — Human Wizard,"At the beginning of each player's upkeep, that player may put an artifact, creature, or land card from their hand onto the battlefield.",U
"Brallin, Skyshark Rider",9b4fdcd5-5346-46a8-b1a4-84ddb74089e0,c20,4,Legendary Creature — Human Shaman,"Partner with Shabraz, the Skyshark (When this creature enters, target player may put Shabraz into their hand from their library, then shuffle.) Whenever you discard a card, put a +1/+1 counter on Brallin and it deals 1 damage to each opponent. {R}: Target Shark gains trample until end of turn.",R
Braulios of Pheres Band,01789cb2-a93d-4197-a40a-612423635125,j25,51,Legendary Creature — Centaur Scout,"Braulios's power and toughness are each equal to the number of lands you control. Whenever Braulios attacks, draw a card, then you may put a land card from your hand onto the battlefield.",G
"Breeches, Brazen Plunderer",fb6dc94e-9b57-4161-a835-15e46c3bb13a,lcc,217,Legendary Creature — Goblin Pirate,"Menace Whenever one or more Pirates you control deal damage to your opponents, exile the top card of each of those opponents' libraries. You may play those cards this turn, and you may spend mana as though it were mana of any color to cast those spells. Partner (You can have two commanders if both have partner.)",R
"Breeches, Eager Pillager",aadf5028-8dfe-40d3-89b4-22bd7ed0aae6,lci,137,Legendary Creature — Goblin Pirate,"First strike Whenever a Pirate you control attacks, choose one that hasn't been chosen this turn — • Create a Treasure token. • Target creature can't block this turn. • Exile the top card of your library. You may play it this turn.",R
"Breeches, the Blastmaker",cf3bda9e-42af-4f99-a504-c96c25c2794b,otj,197,Legendary Creature — Goblin Pirate,"Menace Whenever you cast your second spell each turn, you may sacrifice an artifact. If you do, flip a coin. When you win the flip, copy that spell. You may choose new targets for the copy. When you lose the flip, Breeches deals damage equal to that spell's mana value to any target.",RU
"Breena, the Demagogue",d0adb0c2-d45f-4c51-a4df-05f75c83e46a,otc,217,Legendary Creature — Bird Warlock,"Flying Whenever a player attacks one of your opponents, if that opponent has more life than another of your opponents, that attacking player draws a card and you put two +1/+1 counters on a creature you control.",BW
"Brenard, Ginger Sculptor",ca6bf2e0-7dc3-4166-98a2-aa7edbf132a8,plst,WOC-27,Legendary Creature — Human Artificer,"Each creature you control that's a Food or a Golem gets +2/+2 and has trample. Whenever another nontoken creature you control dies, you may exile it. If you do, create a token that's a copy of that creature, except it's a 1/1 Food Golem artifact creature in addition to its other types and it has ""{2}, {T}, Sacrifice this token: You gain 3 life.""",GUW
"Breya, Etherium Shaper",8bf3929c-957f-4ea2-a27d-7d53979844af,mh3,289,Legendary Artifact Creature — Human,"When Breya enters, create two 1/1 blue Thopter artifact creature tokens with flying. {2}, Sacrifice two artifacts: Choose one — • Breya deals 3 damage to target player or planeswalker. • Target creature gets -4/-4 until end of turn. • You gain 5 life.",BRUW
"Bria, Riptide Rogue",390c96b3-68da-4a42-89ab-d9ccc79ce0dd,blb,379,Legendary Creature — Otter Rogue,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Other creatures you control have prowess. (If a creature has multiple instances of prowess, each triggers separately.) Whenever you cast a noncreature spell, target creature you control can't be blocked this turn.",RU
"Bright-Palm, Soul Awakener",a485c2c3-c90b-43b4-bb00-c1b811b4b392,moc,1,Legendary Creature — Fox Shaman,"Backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.) Whenever this creature attacks, double the number of +1/+1 counters on target creature. That creature can't be blocked by creatures with power 2 or less this turn.",GRW
"Brigid, Hero of Kinsbaile",da70a20f-213e-4d79-a46f-1ef1fc3f4a51,lrw,6,Legendary Creature — Kithkin Archer,First strike {T}: Brigid deals 2 damage to each attacking or blocking creature target player controls.,W
"Brigone, Soldier of Meletis",20ecadef-8aa3-4bca-8744-adbc809083c3,j25,30,Legendary Creature — Human Soldier,"Vigilance Heroic — Whenever you cast a spell that targets Brigone, put a +1/+1 counter on Brigone. {T}, Remove a +1/+1 counter from Brigone: Draw a card.",W
"Brimaz, Blight of Oreskos",f0d31ae7-8580-402a-a917-3d626a9e1f49,moc,2,Legendary Creature — Phyrexian Cat,"Whenever you cast a Phyrexian creature or artifact creature spell, incubate X, where X is that spell's mana value. (Create an Incubator token with X +1/+1 counters on it and ""{2}: Transform this token."" It transforms into a 0/0 Phyrexian artifact creature.) At the beginning of each end step, if a Phyrexian died under your control this turn, proliferate.",BW
"Brimaz, King of Oreskos",f54eb705-6326-4bac-bf0e-68d42db7a270,bng,5,Legendary Creature — Cat Soldier,"Vigilance Whenever Brimaz attacks, create a 1/1 white Cat Soldier creature token with vigilance that's attacking. Whenever Brimaz blocks a creature, create a 1/1 white Cat Soldier creature token with vigilance that's blocking that creature.",W
"""Brims"" Barone, Midway Mobster",68832214-2943-4253-8884-ffa490e84087,unf,163,Legendary Creature — Human Rogue,"When ""Brims"" Barone, Midway Mobster enters, put a +1/+1 counter on each other creature you control that has a hat. ""Brims"" Barone, Midway Mobster has menace as long as you're wearing a hat.",BW
"Brinelin, the Moon Kraken",c606f8ea-815b-4308-8f1d-3dad4f45f70e,cmm,78,Legendary Creature — Kraken,"When Brinelin enters and whenever you cast a spell with mana value 6 or greater, you may return target nonland permanent to its owner's hand. Partner (You can have two commanders if both have partner.)",U
Brion Stoutarm,b097c70a-d1d6-4972-b94d-d7d8a6f443e2,a25,200,Legendary Creature — Giant Warrior,"Lifelink {R}, {T}, Sacrifice another creature: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player or planeswalker.",RW
"Bristly Bill, Spine Sower",52eef0d6-24b7-40b7-8403-e8e863d0cd55,otj,157,Legendary Creature — Plant Druid,"Landfall — Whenever a land you control enters, put a +1/+1 counter on target creature. {3}{G}{G}: Double the number of +1/+1 counters on each creature you control.",G
"Brokkos, Apex of Forever",c9f07625-fbd8-4581-8568-eb3cfb2a4c1e,iko,179,Legendary Creature — Nightmare Beast Elemental,"Mutate {2}{U/B}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.) Trample You may cast this card from your graveyard using its mutate ability.",BGU
Brothers Yamazaki,acef8c94-469b-4a76-b507-25b51f2501ab,chk,160a,Legendary Creature — Human Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.) If there are exactly two permanents named Brothers Yamazaki on the battlefield, the ""legend rule"" doesn't apply to them. Each other creature named Brothers Yamazaki gets +2/+2 and has haste.",R
"Brudiclad, Telchor Engineer",25eff27a-eb58-4a95-b2df-4a341cf9bef6,2xm,193,Legendary Artifact Creature — Phyrexian Artificer,"Creature tokens you control have haste. At the beginning of combat on your turn, create a 2/1 blue Phyrexian Myr artifact creature token. Then you may choose a token you control. If you do, each other token you control becomes a copy of that token.",RU
Bruenor Battlehammer,53e1eb00-412e-4c25-bc7b-6d074330fd97,afr,219,Legendary Creature — Dwarf Warrior,Each creature you control gets +2/+0 for each Equipment attached to it. You may pay {0} rather than pay the equip cost of the first equip ability you activate each turn.,RW
"Bruna, Light of Alabaster",58c56bad-68ed-4328-a7ea-c528b58dc2fd,c18,170,Legendary Creature — Angel,"Flying, vigilance Whenever Bruna attacks or blocks, you may attach to it any number of Auras on the battlefield and you may put onto the battlefield attached to it any number of Aura cards that could enchant it from your graveyard and/or hand.",UW
"Bruna, the Fading Light",6fccdb60-5fce-4a6e-a709-b986f9a4b653,inr,14,Legendary Creature — Angel Horror,"When you cast this spell, you may return target Angel or Human creature card from your graveyard to the battlefield. Flying, vigilance (Melds with Gisela, the Broken Blade.)",W
"Bruse Tarl, Boorish Herder",125b552b-45ea-4e0b-94a9-8131c97a04c0,c16,30,Legendary Creature — Human Ally,"Whenever Bruse Tarl enters or attacks, target creature you control gains double strike and lifelink until end of turn. Partner (You can have two commanders if both have partner.)",RW
"Bruse Tarl, Roving Rancher",286c55c2-dcc1-4e87-a83f-9981d28ab62d,otj,198,Legendary Creature — Human Warrior,"Oxen you control have double strike. Whenever Bruse Tarl enters or attacks, exile the top card of your library. If it's a land card, create a 2/2 white Ox creature token. Otherwise, you may cast it until the end of your next turn.",RW
Bruvac the Grandiloquent,2ce2d73f-3f64-44db-a2bc-a8f4a37dc487,rvr,35,Legendary Creature — Human Advisor,"If an opponent would mill one or more cards, they mill twice that many cards instead. (To mill a card, a player puts the top card of their library into their graveyard.)",U
"Bugenhagen, Wise Elder",99155fae-507a-4eab-918a-bdee021e2262,fic,66,Legendary Creature — Human Shaman,"Reach At the beginning of your upkeep, if you control a creature with power 7 or greater, draw a card. {T}: Add one mana of any color.",G
"Bumi, Eclectic Earthbender",f324a384-7380-4f6e-bbba-fac1f2a01b5d,tle,248,Legendary Creature — Human Noble Ally,"When Bumi enters, earthbend 1. (Target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.) Whenever Bumi attacks, put two +1/+1 counters on each land creature you control.",G
"Burakos, Party Leader",899e278d-5d4e-461a-9878-2b85de16b38d,clb,653,Legendary Creature — Orc,"Burakos is also a Cleric, Rogue, Warrior, and Wizard. Whenever Burakos attacks, defending player loses X life and you create X Treasure tokens, where X is the number of creatures in your party. Choose a Background (You can have a Background as a second commander.)",B
"Butch DeLoria, Tunnel Snake",d6ed508c-ff2c-444c-8149-34b29e2fbebe,pip,43,Legendary Creature — Human Rogue,"Menace (This creature can't be blocked except by two or more creatures.) Tunnel Snakes Rule! — Whenever Butch DeLoria attacks, it gets +1/+1 until end of turn for each other Rogue and/or Snake you control. {1}{B}: Put a menace counter on another target creature. It becomes a Rogue in addition to its other types.",B
"Butterbur, Bree Innkeeper",f3fd9ff1-278b-4e6a-b30b-90250d8b5762,ltr,197,Legendary Creature — Human Peasant,"At the beginning of your end step, if you don't control a Food, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",GW
"Buxton, Decorated Host",016a7142-d4e9-4c3a-bfe3-f285ef30f6ff,yblb,21,Legendary Creature — Rabbit Noble,"Convoke At the beginning of your end step, if you control a tapped creature, seek a nonland permanent card with mana value X or less, where X is the number of tapped creatures you control. Put that card onto the battlefield.",GW
"Byrke, Long Ear of the Law",6441abd3-320b-424a-9753-61e3581fe1a9,blb,380,Legendary Creature — Rabbit Soldier,"Vigilance When Byrke enters, put a +1/+1 counter on each of up to two target creatures. Whenever a creature you control with a +1/+1 counter on it attacks, double the number of +1/+1 counters on it.",GW
Cabal Patriarch,9e9a1276-5ad5-44ee-83e5-2d1ab728946e,cmm,140,Legendary Creature — Human Wizard,"{2}{B}, Sacrifice a creature: Target creature gets -2/-2 until end of turn. {2}{B}, Exile a creature card from your graveyard: Target creature gets -2/-2 until end of turn.",B
"Cadira, Caller of the Small",75994e0b-b0c7-4b0d-8f48-4be303429bd6,clb,269,Legendary Creature — Orc Ranger,"Trample Whenever Cadira deals combat damage to a player, for each token you control, create a 1/1 white Rabbit creature token.",GW
"Cadric, Soul Kindler",f82f8cab-5039-4e3a-a2ba-cbf829db80ed,dmc,10,Legendary Creature — Dwarf Wizard,"The ""legend rule"" doesn't apply to tokens you control. Whenever another nontoken legendary permanent you control enters, you may pay {1}. If you do, create a token that's a copy of it. That token gains haste. Sacrifice it at the beginning of the next end step.",RW
"Caelorna, Coral Tyrant",e8654e38-4230-4094-b815-778bfb5d06f2,dft,40,Legendary Creature — Octopus,,U
"Caesar, Legion's Emperor",246a7176-98bc-4f54-aa61-38747420f178,pip,1,Legendary Creature — Human Soldier,"Whenever you attack, you may sacrifice another creature. When you do, choose two — • Create two 1/1 red and white Soldier creature tokens with haste that are tapped and attacking. • You draw a card and you lose 1 life. • Caesar deals damage equal to the number of creature tokens you control to target opponent.",BRW
"Cait, Cage Brawler",fca61d02-2819-483f-9d30-862f0650ab0a,pip,96,Legendary Creature — Human Warrior,"During your turn, Cait has indestructible. Whenever Cait attacks, you and defending player each draw a card, then discard a card. Put two +1/+1 counters on Cait if you discarded the card with the greatest mana value among those cards or tied for greatest.",GR
"Cait Sith, Fortune Teller",3e0f6c53-6bbf-4d4c-bbbf-4dab22297527,fic,54,Legendary Artifact Creature — Cat Moogle,"Lucky Slots — At the beginning of combat on your turn, scry 1, then exile the top card of your library. You may play that card this turn. When you exile a card this way, target creature you control gets +X/+0 until end of turn, where X is that card's mana value.",R
"Calamity, Galloping Inferno",e7a70f5a-2056-4c26-b6ea-9f751b5d0d8c,otj,116,Legendary Creature — Horse Mount,"Haste Whenever Calamity attacks while saddled, choose a nonlegendary creature that saddled it this turn and create a tapped and attacking token that's a copy of it. Sacrifice that token at the beginning of the next end step. Repeat this process once. Saddle 1",R
"Calim, Djinn Emperor",669ffaf7-8b6d-46b4-a790-1715918e6e29,hbg,33,Legendary Creature — Djinn Noble,"Flying, ward {2} Calim's Breath — {1}{U}, Discard Calim: Tap up to one target nonland permanent. Draw a card. Then you may exile two other cards named Calim, Djinn Emperor from your graveyard. When you do, return Calim from your graveyard to the battlefield tapped. When you discard Calim, conjure a card named Calim, Djinn Emperor into your library seventh from the top.",U
"Calix, Guided by Fate",0a707ab3-b9b5-422a-8b0f-e963d3ad6606,mat,26,Legendary Enchantment Creature — Human Druid,"Constellation — Whenever Calix or another enchantment you control enters, put a +1/+1 counter on target creature. Whenever Calix or an enchanted creature you control deals combat damage to a player, you may create a token that's a copy of a nonlegendary enchantment you control. Do this only once each turn.",GW
"Callaphe, Beloved of the Sea",c5d433f2-0a3b-4f45-83a3-ed600a6d10b1,thb,45,Legendary Enchantment Creature — Demigod,"Callaphe's power is equal to your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.) Creatures and enchantments you control have ""Spells your opponents cast that target this permanent cost {1} more to cast.""",U
"Camellia, the Seedmiser",2c16eaec-924c-42f6-9fea-07edd7ed93b9,blb,207,Legendary Creature — Squirrel Warlock,"Menace Other Squirrels you control have menace. Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token. {2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)",BG
"Candela, Aegis of Adagia",ada990f9-c8df-4fa3-be3a-14ee9937f3ed,yeoe,1,Legendary Artifact — Spacecraft,"Flash When Candela enters, return up to one target creature you control to its owner's hand. It perpetually gets +1/+1. Station STATION 8+ Flying Whenever Candela deals combat damage to a player, you may put a creature card with mana value 3 or less from your hand onto the battlefield.",W
Candlekeep Sage,6f706ac3-0ad8-44ac-a99e-21c04075951d,clb,60,Legendary Enchantment — Background,"Commander creatures you own have ""When this creature enters or leaves the battlefield, draw a card.""",U
"Cao Cao, Lord of Wei",d7e5a530-c954-4696-85ce-6afaf7de1808,ptk,68,Legendary Creature — Human Soldier,"{T}: Target opponent discards two cards. Activate only during your turn, before attackers are declared.",B
"Cao Ren, Wei Commander",4f7e8366-82ba-4df0-b9df-7d0aa9b972eb,ptk,69,Legendary Creature — Human Soldier Warrior,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.) When Cao Ren enters, you lose 3 life.",B
Caparocti Sunborn,8ea82964-fd9c-48e3-962f-94954476b31f,lci,226,Legendary Creature — Human Soldier,"Whenever Caparocti Sunborn attacks, you may tap two untapped artifacts and/or creatures you control. If you do, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",RW
"Captain America, First Avenger",bba7e9c8-c24c-4bd3-b398-fe42b1fcfb5d,sld,1726,Legendary Creature — Human Soldier Hero,"Throw ... — {3}, Unattach an Equipment from Captain America: He deals damage equal to that Equipment's mana value divided as you choose among one, two, or three targets. ... Catch — At the beginning of combat on your turn, attach up to one target Equipment you control to Captain America.",RUW
Captain Eberhart,46c02d45-a882-4b24-999b-9214fa48f4c6,ymid,3,Legendary Creature — Human Soldier,Double strike Spells cast from among cards you drew this turn cost {1} less to cast. Spells cast from among cards your opponents drew this turn cost {1} more to cast.,W
"Captain Howler, Sea Scourge",0957c90f-e10d-40f8-a4be-9e9ef623dd43,dft,194,Legendary Creature — Shark Pirate,"Ward—{2}, Pay 2 life. Whenever you discard one or more cards, target creature gets +2/+0 until end of turn for each card discarded this way. Whenever that creature deals combat damage to a player this turn, you draw a card.",RU
Captain Lannery Storm,60a457e2-6cc7-47f0-9a24-df5459395358,otc,158,Legendary Creature — Human Pirate,"Haste Whenever Captain Lannery Storm attacks, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."") Whenever you sacrifice a Treasure, Captain Lannery Storm gets +1/+0 until end of turn.",R
Captain N'ghathrod,55c02dc8-0743-400c-b334-ca029caf0463,clb,646,Legendary Creature — Horror Pirate,"Horrors you control have menace. Whenever a Horror you control deals combat damage to a player, that player mills that many cards. At the beginning of your end step, choose target artifact or creature card in an opponent's graveyard that was put there from their library this turn. Put it onto the battlefield under your control.",BU
Captain Rex Nebula,85e8bdd9-24a3-42f0-8b0c-dbc05be8fc20,unf,164,Legendary Creature — Human Pilot Employee,"At the beginning of combat on your turn, choose target nonland permanent you control. Until end of turn, it becomes a Vehicle artifact with base power and toughness each equal to its mana value, and it gains crew 2 and ""Crash Land — Whenever this Vehicle deals damage, roll a six-sided die. If the result is equal to this Vehicle's mana value, sacrifice this Vehicle, then it deals that much damage to any target.""",RW
Captain Ripley Vance,d640bc10-51ce-48e9-bceb-c3e69d7eae31,cmm,209,Legendary Creature — Human Pirate,"Whenever you cast your third spell each turn, put a +1/+1 counter on Captain Ripley Vance, then it deals damage equal to its power to any target.",R
Captain Sisay,d24d441c-f37f-44fe-8a93-f5c89df807e4,inv,237,Legendary Creature — Human Soldier,"{T}: Search your library for a legendary card, reveal that card, put it into your hand, then shuffle.",GW
"Captain Storm, Cosmium Raider",14c65f5a-10bd-4f9b-b816-46c2240b11ff,lci,227,Legendary Creature — Human Pirate,"Whenever an artifact you control enters, put a +1/+1 counter on target Pirate you control.",RU
Captain Vargus Wrath,0beafec9-24db-4903-97c1-c5fe740ada83,cmr,273,Legendary Creature — Orc Pirate,"Whenever Captain Vargus Wrath attacks, Pirates you control get +1/+1 until end of turn for each time you've cast a commander from the command zone this game.",RU
"Caradora, Heart of Alacria",1256d22d-a2a9-41fb-b669-0661ba230bc7,dft,195,Legendary Creature — Human Knight,"When Caradora enters, you may search your library for a Mount or Vehicle card, reveal it, put it into your hand, then shuffle. If one or more +1/+1 counters would be put on a creature or Vehicle you control, that many plus one +1/+1 counters are put on it instead.",GW
"Carmen, Cruel Skymarcher",c0e07f8a-5290-47c4-a93d-0c3a14afebd3,lcc,5,Legendary Creature — Vampire Soldier,"Flying Whenever a player sacrifices a permanent, put a +1/+1 counter on Carmen and you gain 1 life. Whenever Carmen attacks, return up to one target permanent card with mana value less than or equal to Carmen's power from your graveyard to the battlefield.",BW
